site_id,date,metric,prediction
S1,2026-01-01,units_produced,1113.117431640625
S1,2026-01-02,units_produced,1265.7545166015625
S1,2026-01-03,units_produced,962.566650390625
S1,2026-01-04,units_produced,1001.642333984375
S1,2026-01-05,units_produced,979.364501953125
S1,2026-01-06,units_produced,1021.2503051757812
S1,2026-01-07,units_produced,1221.3055419921875
S1,2026-01-08,units_produced,1215.39013671875
S1,2026-01-09,units_produced,1359.728515625
S1,2026-01-10,units_produced,1346.4151611328125
S1,2026-01-11,units_produced,996.6134643554688
S1,2026-01-12,units_produced,1115.027099609375
S1,2026-01-13,units_produced,1420.699951171875
S1,2026-01-14,units_produced,1177.49658203125
S2,2026-01-01,units_produced,1047.7696533203125
S2,2026-01-02,units_produced,1388.3048095703125
S2,2026-01-03,units_produced,1425.625732421875
S2,2026-01-04,units_produced,1192.60009765625
S2,2026-01-05,units_produced,1381.6881103515625
S2,2026-01-06,units_produced,1570.73291015625
S2,2026-01-07,units_produced,1174.465087890625
S2,2026-01-08,units_produced,1234.819091796875
S2,2026-01-09,units_produced,1149.855712890625
S2,2026-01-10,units_produced,1400.3167724609375
S2,2026-01-11,units_produced,1127.3902587890625
S2,2026-01-12,units_produced,1684.422607421875
S2,2026-01-13,units_produced,1161.56640625
S2,2026-01-14,units_produced,1345.347900390625
S3,2026-01-01,units_produced,1280.768310546875
S3,2026-01-02,units_produced,1269.0478515625
S3,2026-01-03,units_produced,1150.1920166015625
S3,2026-01-04,units_produced,1020.4473876953125
S3,2026-01-05,units_produced,967.51220703125
S3,2026-01-06,units_produced,616.9818725585938
S3,2026-01-07,units_produced,960.2230224609375
S3,2026-01-08,units_produced,1107.531982421875
S3,2026-01-09,units_produced,916.7786254882812
S3,2026-01-10,units_produced,992.9716186523438
S3,2026-01-11,units_produced,870.7500610351562
S3,2026-01-12,units_produced,831.8157348632812
S3,2026-01-13,units_produced,899.2286376953125
S3,2026-01-14,units_produced,931.43017578125
S4,2026-01-01,units_produced,1358.3385009765625
S4,2026-01-02,units_produced,1369.4722900390625
S4,2026-01-03,units_produced,1384.1768798828125
S4,2026-01-04,units_produced,1305.6046142578125
S4,2026-01-05,units_produced,1327.883056640625
S4,2026-01-06,units_produced,1007.1927490234375
S4,2026-01-07,units_produced,1573.7352294921875
S4,2026-01-08,units_produced,1415.8258056640625
S4,2026-01-09,units_produced,1433.19677734375
S4,2026-01-10,units_produced,1268.6072998046875
S4,2026-01-11,units_produced,1112.1932373046875
S4,2026-01-12,units_produced,1478.84375
S4,2026-01-13,units_produced,1363.992431640625
S4,2026-01-14,units_produced,1281.8231201171875
